0.010000 1.0000000 -0.098000 
0.020000 0.9990200 -0.196000 
0.030000 0.9970600 -0.294000 
0.040000 0.9941200 -0.392000 
0.050000 0.9902000 -0.490000 
0.060000 0.9853000 -0.588000 
0.070000 0.9794200 -0.686000 
0.080000 0.9725600 -0.784000 
0.090000 0.9647200 -0.882000 
0.100000 0.9559000 -0.980000 
0.110000 0.9461000 -1.078000 
0.120000 0.9353200 -1.176000 
0.130000 0.9235600 -1.274000 
0.140000 0.9108200 -1.372000 
0.150000 0.8971000 -1.470000 
0.160000 0.8824000 -1.568000 
0.170000 0.8667200 -1.666000 
0.180000 0.8500600 -1.764000 
0.190000 0.8324201 -1.862000 
0.200000 0.8138000 -1.960000 
0.210000 0.7942001 -2.058000 
0.220000 0.7736201 -2.156000 
0.230000 0.7520601 -2.254000 
0.240000 0.7295201 -2.352000 
0.250000 0.7060001 -2.450001 
0.260000 0.6815001 -2.548001 
0.270000 0.6560200 -2.646001 
0.280000 0.6295601 -2.744001 
0.290000 0.6021200 -2.842001 
0.300000 0.5737000 -2.940001 
0.310000 0.5443000 -3.038001 
0.320000 0.5139200 -3.136001 
0.330000 0.4825600 -3.234001 
0.340000 0.4502200 -3.332001 
0.350000 0.4169000 -3.430001 
0.360000 0.3826000 -3.528001 
0.370000 0.3473200 -3.626001 
0.380000 0.3110600 -3.724001 
0.390000 0.2738200 -3.822001 
0.400000 0.2355999 -3.920001 
0.410000 0.1963999 -4.018001 
0.420000 0.1562199 -4.116001 
0.430000 0.1150599 -4.214001 
0.440000 0.0729199 -4.312001 
0.450000 0.0297999 -4.410001 
0.460000 0.0143001 4.508001 
0.470000 0.0593801 4.410001 
0.480000 0.1034802 4.312001 
0.490000 0.1466002 4.214001 
0.500000 0.1887402 4.116001 
0.510000 0.2299002 4.018001 
0.520000 0.2700802 3.920001 
0.530000 0.3092802 3.822001 
0.540000 0.3475002 3.724001 
0.550000 0.3847402 3.626001 
0.560000 0.4210002 3.528001 
0.570000 0.4562802 3.430001 
0.580000 0.4905802 3.332001 
0.590000 0.5239002 3.234001 
0.600000 0.5562402 3.136001 
0.610000 0.5876002 3.038001 
0.620000 0.6179802 2.940001 
0.630000 0.6473802 2.842000 
0.640000 0.6758003 2.744000 
0.650000 0.7032403 2.646000 
0.660000 0.7297003 2.548000 
0.670000 0.7551802 2.450000 
0.680000 0.7796803 2.352000 
0.690000 0.8032002 2.254000 
0.700000 0.8257402 2.156000 
0.710000 0.8473002 2.058000 
0.720000 0.8678802 1.960000 
0.730000 0.8874802 1.862000 
0.740000 0.9061002 1.764000 
0.750000 0.9237402 1.666000 
0.760000 0.9404002 1.568000 
0.770000 0.9560802 1.470000 
0.780000 0.9707802 1.372000 
0.790000 0.9845002 1.274000 
0.800000 0.9972402 1.176000 
0.810000 1.0090002 1.078000 
0.820000 1.0197802 0.980000 
0.830000 1.0295801 0.882000 
0.839999 1.0384001 0.784000 
0.849999 1.0462401 0.686000 
0.859999 1.0531001 0.588000 
0.869999 1.0589801 0.490000 
0.879999 1.0638801 0.392000 
0.889999 1.0678000 0.294000 
0.899999 1.0707400 0.196000 
0.909999 1.0727000 0.098000 
0.919999 1.0736800 -0.000000 
0.929999 1.0736800 -0.098000 
0.939999 1.0727000 -0.196000 
0.949999 1.0707400 -0.294000 
0.959999 1.0677999 -0.392000 
0.969999 1.0638800 -0.490000 
0.979999 1.0589800 -0.588000 
0.989999 1.0531000 -0.686000 
0.999999 1.0462400 -0.784000 
1.009999 1.0383999 -0.882000 
1.019999 1.0295799 -0.980000 
1.029999 1.0197799 -1.078000 
1.039999 1.0089999 -1.176000 
1.049999 0.9972399 -1.274000 
1.059999 0.9844999 -1.372000 
1.069999 0.9707800 -1.470001 
1.079999 0.9560800 -1.568001 
1.089999 0.9403999 -1.666001 
1.099999 0.9237399 -1.764001 
1.109999 0.9060999 -1.862001 
1.119999 0.8874799 -1.960001 
1.129999 0.8678799 -2.058001 
1.139999 0.8472999 -2.156001 
1.149999 0.8257399 -2.254001 
1.159999 0.8031998 -2.352001 
1.169999 0.7796798 -2.450001 
1.179999 0.7551798 -2.548001 
1.189999 0.7296998 -2.646001 
1.199999 0.7032398 -2.744001 
1.209999 0.6757998 -2.842001 
1.219999 0.6473798 -2.940001 
1.229999 0.6179798 -3.038001 
1.239999 0.5875998 -3.136001 
1.249999 0.5562397 -3.234001 
1.259999 0.5238997 -3.332001 
1.269999 0.4905797 -3.430001 
1.279999 0.4562797 -3.528002 
1.289999 0.4209997 -3.626002 
1.299999 0.3847397 -3.724002 
1.309999 0.3474996 -3.822002 
1.319999 0.3092796 -3.920002 
1.329999 0.2700796 -4.018002 
1.339999 0.2298996 -4.116002 
1.349999 0.1887396 -4.214002 
1.359999 0.1465996 -4.312002 
1.369999 0.1034795 -4.410002 
1.379999 0.0593795 -4.508002 
1.389999 0.0142995 -4.606002 
1.399999 0.0317605 4.704002 
1.409999 0.0788005 4.606002 
1.419999 0.1248605 4.508002 
1.429999 0.1699406 4.410002 
1.439999 0.2140406 4.312002 
1.449999 0.2571606 4.214002 
1.459999 0.2993006 4.116002 
1.469999 0.3404606 4.018002 
1.479999 0.3806407 3.920002 
1.489999 0.4198407 3.822001 
1.499999 0.4580607 3.724001 
1.509999 0.4953007 3.626001 
1.519999 0.5315607 3.528001 
1.529999 0.5668407 3.430001 
1.539999 0.6011407 3.332001 
1.549999 0.6344607 3.234001 
1.559999 0.6668007 3.136001 
1.569999 0.6981608 3.038001 
1.579999 0.7285408 2.940001 
1.589999 0.7579408 2.842001 
